Tuple SVO,Sentence
"['Pesh Merga', 'pump', 'new vigor']","The addition of the Iraqi Kurds , at least 20 % of whom are Pesh Merga fighting for an independent Kurdistan , could pump new vigor into Turkey 's indigenous Kurdish extremists ."
"['Roger Ailes', 'pump up', 'his anger']","Roger Ailes , the man who will guide George Bush 's heavy media campaign , is pumping up his anger like a lineman preparing to crush the opposing quarterback ."
"['the state', 'pump', 'more jobs and money']","In doing so , the state is trying to use retirees as a vehicle to achieve a public-policy aim: pumping more jobs and money into its poorest region ."
"['he', 'pump', 'six of Mr. Wang's colleagues in Morgan Stanley's Merger']","Among the hundreds of pages of affidavits and depositions filed by the SEC with a federal court in New York earlier this week are sworn statements by six of Mr. Wang 's colleagues in Morgan Stanley 's mergers and acquisitions department indicating that he was intimately familiar with much of their work , and sometimes may have pumped them for details ."
"['securities firms', 'pump', 'at least 20% more capital']",They are irate about new capital-adequacy requirements that force securities firms to pump at least 20 % more capital into reserves .
[],"One of the highest concentrations of chemical plants in the nation , its hulking factories whir and hiss , pumping steam into a hazy , burnt-orange sky ."
[],"Wolverine also said the Wyoming well is being pumped at a rate of 255 barrels of oil a day from a depth of 7 , 260 feet ."
[],"Britain 's North Sea section pumps about 2.5 million barrels of oil a day , while the Norwegian section pumps about 1.2 million barrels a day ."
[],"The company has been pumping gas in Houston for more than 25 years , but is classified in the area as a non-major , with a market share of just 2.6 % , according to Whitney Leigh ."
[],"Thanks to further development of previously discovered reserves in Alaska and the Gulf of Mexico , BP America is one of the few North American oil producers that pumped more crude oil last year than in 1986 ."
[],"The new automated system pumps the solvent through a thin catheter inserted into the gallbladder under local anesthesia , the center said ."
[],Other investigators say faulty idling valves can make cars surge by suddenly pumping extra air into the engines .
[],"Gary Floyd , owner of Johnson 's Corner , says he pumped one million fewer gallons of diesel fuel in 1987 than a year earlier ."
[],"Two years ago , Utah state engineers came up with what seemed a logical solution to the seasonal flooding of the Great Salt Lake: Create yet another lake nearby , and pump the excess water into it ."
[],The LCG produced for the Apollo astronauts and used by current shuttle crews is made of white spandex and ribbed with 1 8-inch tubing through which water is pumped from a heat exchanger worn on a backpack to maintain an even body temperature .
[],"A score of 200 indicates an ability to grasp simple scientific principles , such as the heart 's main function is to pump blood , or the moon glows because of reflected light from the sun ."
[],"Under the pact , Ashland will treat the contaminated soil , and it will pump and treat ground water to meet drinking-water standards , among other things ."
[],"The solvent , methyl tert-butyl ether, has been known for some time to dissolve gallstones but has n't been widely used because it had to be pumped into the gallbladder by a hand syringe for several hours while the patient was under general anesthesia ."
[],"They pump their arms and wiggle their hips vigorously , producing a motion that Red Smith once likened to that of earthworms out after a thunderstorm ."
[],"Two doctors from Pittsburgh raced by private jet to the Midwest to retrieve it ; on return , bad weather kept their plane circling over Pittsburgh for an hour and a half while Mr. McGowan , his chest opened and a heart-lung machine pumping his blood , lay on the operating table ."
"['Gen. Jaruzelski', 'rest', 'his political base']","The last Polish leader who recognized Solidarity , Edward Gierek , lost his job in the process ; Gen. Jaruzelski has rested his political base on a refusal to do the same ."
"['new exam', 'put to rest', 'recurring charges']",He said he hoped the new exam would help put to rest recurring charges by teacher unions and others that existing teacher tests do n't accurately assess classroom skills and are unfair to minorities .
"['the eye of this year's drought', 'rest', 'a couple hundreds miles']","In a reminder of nature 's fickleness , the eye of this year 's drought rests just a couple of hundred miles north of here , along the Red River Valley between Minnesota and North Dakota ."
"[He, 'rest into', 'a solemn procession']","By the time he was laid to rest in a solemn procession of 100 garbage trucks , a frenzied struggle for control of his empire was under way ."
"['he', 'rest', 'his platform']","And , like Mr. Bush , he rests his platform on often untested optimism ."
"['Pancho Villa', 'rest', 'in peace']",A group of history buffs in this border city is intent on seeing that Pancho Villa rests in peace rather than in pieces .
[nan],
"['', '']",
"['the company', 'ride', 'the first flush of demand']","The new minicomputer is hot , and the company is riding the first flush of demand for some faster new mainframes and software ."
"['Mr. Gorbachev', 'ride', 'a wave of popularity']","The summit , therefore , is an important domestic event in Germany , where Mr. Gorbachev has been riding a wave of popularity ."
"['Vice President Bush', 'ride', 'President Reagan's coattails']","As he has in previous contests this year , Vice President Bush rode President Reagan 's coattails ."
"['I', 'ride', 'the tailgate of tornado']","`` It feels , '' says one uneasy rider , `` like I 'm riding the tailgate of a tornado ."
"['opponents', 'ride', 'roughshod']","Still , opponents paint the company as a heavy-handed marauder , riding roughshod over public ."
"['his own sound men', 'ride', 'the mixing board']","But this program fosters an insidious idea: Intelligent discussion is silly -- whoever 's the loudest , wins . -LRB- And of course Mort , with his own sound men riding the mixing board , is always loudest."
"['ride', 'the next wave of orders']","To ride the next wave of orders in the extended boom time manufacturers expect , McDonnell is trying to capitalize on an edge it will have in the 1990s over Boeing: the ability to produce a plane powered by fuel-efficient `` prop-fan '' engines ."
"['Nike and L.A. Gear', 'ride', 'good earnings']","Nike and L.A. Gear rode good earnings , publicity about the Olympic Games and disappointing news from rival Reebok International to sharp gains , each on heavy trading of about 1.3 million shares ."
"['Domestic aluminum', 'ride', 'an upturn']","Domestic aluminum companies have been riding an upturn for the past 18 months , and are now operating at 104 % of capacity , a statistic that indicates previously written-off facilities have been brought back on line ."
[],"John Matt , a 25-year-old stock-index options trader , started riding his bicycle to work to save money , then could n't afford to replace it when it was stolen ."
[],"A letter from Mayor Ed Koch went out early this month to chief executives of 11 , 000 companies , urging them to reduce the city 's traffic woes by encouraging employees to ride subways ."
[],"Thus , Forbes Inc. does n't try to stop Chairman Malcolm Forbes from ballooning or riding motorcycles despite the dangers ."
[],"Then , their land is appropriated by white men , their child dies , and Alessandro is shot to death for mistakenly riding a settler 's horse ."
[],"For example , director Dolores D. Wharton was shown riding a bike ."
[],"I returned to the yard to keep an eye on my children , who delight in riding their scooters in the road if I will stand watch ."
[],"Children rode bicycles , played street sports , and had toys that required effort ."
[],This might include such cream-puff outings as hiking in the Alps or riding elephants in Thailand .
[],"Mohammed Abu-Helal , a West Bank farmer , used to ride his donkey across the river on Fridays to attend an east-bank mosque ."
[],"Though riding the luge is a fairly dangerous sport , the scariest moment for the Philippines ' Mr. Ocampo came a week before the Olympics when his credentials to participate were temporarily blocked by Philippine bureaucrats ."
[],"`` We were contacted by people who smoke our products and ride these trains , '' he added ."
"['A philoopher, preacher and politician', 'roll into', 'one']","A philosopher , preacher and politician rolled into one , the 67-year-old Mr. Treurnicht mesmerizes frightened whites with that message ."
"['manufacturers', 'roll out', 'questionable' products]","He says manufacturers are increasingly rolling out questionable products that are n't fully researched , justified and tested ."
"['International Business Machines Corp.', 'roll out', 'a laptop']","More competition is on the way ; International Business Machines Corp. is expected to roll out a laptop soon to replace its PC Convertible , a near-total failure in the market ."
"['more CDs', 'be rolled over']","And this year , more CDs are eligible to be rolled over than usual because skittish investors opted for one-year CDs after October 's stock market debacle ."
"['Sunbelt', 'roll up', 'a $1.2 billion net loss']","Sunbelt , which had $ 2.3 billion in assets , rolled up a $ 1.2 billion net loss in its fiscal fourth quarter , ended March 31 , that accounted for half the $ 2.4 billion loss in regulatory capital incurred by the nation 's federally insured thrifts during that period ."
"['Reagan', 'roll back', 'communist']","The potential for peace in many places today results in large part from the Reagan buildup in strategic and theater nuclear defenses , combined with the Reagan doctrine of rolling back communist conquest by backing indigenous guerrilla armies ."
[],When he tries a curve he can't resist rolling his eyes skyward in open homage to the L.A. Dodgers ' Fernando Valenzuela .
[],"Most of the machinery in Toyota Motor Corp. 's $ 800 million auto plant in Georgetown , Ky . , came from Japan , for example , and Toyota spokesmen say that when the first cars roll off the assembly line this spring , 40 % of the total value will be imported ."
[],"For only $ 4.95 , it advises me to wrinkle up my nose , pucker my lips , grit my teeth -LRB- but not too tightly -RRB- , smile for a while , open my mouth wide , drop my jaw and roll my eyes around to relax ."
[],"Once , in Missoula , Mont . , the behemoth had to be rolled over the back of the seats on plywood ."
[],"Mr. Groner touches down at the Orlando airport at 5:54 a.m . , and a dumpster-size container carrying our package is rolled onto a truck bound for a sorting center in Longwood, Fla."
[],"Dave Hoover rolls his 400-pound minijet above the air-show crowd , swooping to within a dozen feet of the runway and popping his landing gear in and out ."
[],"As of Thursday night , other Yanks besides Schultz remained in their respective gold-medal chases , including 1984 Olympic super-heavyweight champ Bruce Baumgartner , who rolled a notable East German on Thursday ; Nate Carr at 149.5 , and Kenny Monday at 163 ."
[],"Josefina Pahilga , 38 years old , trained as a teacher , took a job as a maid abroad after she could not find a teaching post and ended up earning $ 100 a month rolling cigarettes in a tobacco factory ."
[],`` But who 's going to roll the dice ? ''/'' - Literal
[],"The last Volkswagen made in North America has rolled off the assembly line , but it is n't for sale ./."
[],Tears roll down Juana Lara 's cheeks when she recalls the family 's desperation a few years ago .
[],"This was obvious in the professional manner in which he rolled across the stadium floor after firing on his target , hoping to avoid being shot by Mr. Ozal 's bodyguards ."
[],"If the Russians had rolled over West Germany last week , it might have made Messrs ."
[],"The last B-1B , the warplane built for the Air Force by Rockwell International Corp . , rolled off the production line last week ."
"['the draft', 'smooth out', 'conflicts']",U.S. defense analysts say the draft would create a mechanism to smooth out conflicts over design or work-sharing .
"['Michael D. Dingman', 'smooth over', 'a rift']","There was market speculation yesterday that senior officials of Olympia & York may have met secretly with Michael D. Dingman , chairman and chief executive officer of Henley , in an effort to smooth over a rift between the two one-time suitors for Santa Fe , a Chicago-based railroad and energy concern ."
"['Another factor', 'smooth', 'the process']",Another factor that should smooth the process is simply the diminishing importance of the national contract .
"['smooth over', 'some of the problems with large computer networks']","International Business Machines Corp. will announce tomorrow a slew of telecommunications products that will smooth over some of the problems with large computer networks , industry sources said ."
"['central bank', 'smooth ', 'currency and price movements']",And Bank of Japan Governor Satoshi Sumita said the central bank would `` act appropriately and flexibly '' if needed to smooth currency and price movements .
"['the action', 'smooth', 'volatility']",They said the amounts were small and the action was interpreted as more an attempt to smooth volatility and slow the dollar 's ascent than to stop it .
[],"An Ortho spokeswoman said that since January -- when the Journal of the American Medical Association suggested Retin-A , on the market 17 years to treat acne , could help smooth wrinkles -- sales of the 0.05 % Retin-A have risen 40 % in the U.S ."
[],"While Abideen reminisces , Abegi 's son smooths the sand to make a table and serves the simple , traditional meal that is all their hard life affords: a flat cake of mixed grains and a drink made of crumbled goat cheese , crushed dates and water ."
[],"Its path can be changed or its speed accelerated by players energetically sweeping in front of it , smoothing the ice ."
[],"But however microscopically small the particle size and smooth the consistency , this product is still 100 % egg white or milk protein ."
[],"Last month , a report in the Journal of the American Medical Association suggested that Johnson & Johnson 's potent prescription cream , long used to treat teen-age acne , could help smooth sun-aged skin ."
"['Who', 'step into', 'this maw']",Who will now step into this maw is a question the company does n't have much time to puzzle over .
"['we', 'step up to', 'those issues']",We told you the truth and we stepped up to those issues .
"['West Point-Pepperell Inc.', 'step up', 'its attack']",West Point-Pepperell Inc. stepped up its attack on suitor William Farley with a lawsuit that seeks to block him from taking over the company .
"['everybody', 'step over', 'each other']",Mr. Kessler said: `` The market was so nervous and so short dollars that a panic set in and everybody started stepping over each other to buy their dollars back .
"['The Democratic contender', 'step up', 'attacks']",The Democratic contender will step up attacks on Bush 's proposal to cut capital-gains taxes .
"['Compaq', 'step into', 'the market']",`` Compaq has stepped into the market and is arguably the leader in performance and functions for the price .
[],"But his uncle tells the story: When the family arrived , the boy went out exploring near the abandoned base and stepped on a mine ."
[],"`` This is a place to come for a better life , '' she says , as her troupe of tiny vendors surrounds tourists stepping off a bus ."
[],"Cows still step on unexploded mines , but after 17 years of de facto peace , Mr. Hellman finds the river border odd ."
[],"When Egyptian President Hosni Mubarak steps off his plane at Andrews Air Force Base tomorrow to begin a visit to Washington , he will be a changed man ."
[],"After helping a co-worker inspect rudder-control pedals , Mr. Hudak stepped from the cramped , tool-scattered cockpit into the first-class section ."
[],"`` It 's no scarier than stepping out my door at home , '' says Davoru Sperling , a Torah student from the West Bank ."
[],Evidence in the New Jersey trial showed the driver had stepped on both pedals .
[],What steps in this direction are they overlooking ? - Literal
"['The Republican campaign', 'stick to', 'its story']",The Republican campaign is sticking to its story of not releasing Mr. Bush 's vice-presidential selection until Thursday .
"['Over-the-counter stocks', ' be stuck in doldrums']","Over-the-counter stocks , stuck in doldrums lately , managed a second consecutive advance yesterday as trading desks came to life for one of the few times this month ."
"['he', 'stick to', 'short-maturity bond']","One of the company 's managing directors , Seymour M. Lotsoff , said he is sticking to short-maturity bonds because `` I 'm not optimistic about interest rates ."
"['He', 'stick to', 'instant photography']",He preferred to stick to instant photography .
"['She', 'stick to', 'this policy']","She 's been able to stick to this policy , largely because of the nature of her music ."
"['they', 'stick', 'together']","The Soviet Germans generally are simple people with little education -- like America 's Pennsylvania Dutch , they 've stuck together in small Protestant communities and speak an antiquated German ."
[],"When mixed with the blood of infected people , CBre3 sticks to the antibodies , causing a visually observable reaction ."
[],"Charles Maikish , the Port Authority 's director of ferry transportation , recalls that , to boost support for the tunnel , one government agency had produced a film showing Hudson River ferries stuck in ice , lost in fog and delayed by river traffic ."
[],"`` Most of the time , all they do is stick needles in you and take blood ."
[],"Such probes , which are pieces of DNA that stick to the DNA in a sample , have provided crucial evidence in more than a dozen murder and rape cases during the past year and are increasingly used in paternity testing ."
[],"Taking a long loaf of fresh bread , Henri Caudron sticks in a menacing-looking plastic sword , squeezes a trigger and voila ! blanquette de veau , dubbed a `` real meal in a sandwich '' for 18 francs -LRB- $ 3.15 -RRB- ."
[],"To use the $ 20 test , dentists stick pieces of paper between the patient 's teeth and gums , then send the paper to BioTechnica for analysis ."
[],Another ad for a toilet-bowl cleaner is shot from inside the toilet so you can watch a wife urge her husband to stick his head inside the bowl to see how clean she got it .
[],"When these components , known as antigens , are added to infected blood , they stick to antibodies in the blood , causing an easily detectable reaction ."
[],Or marvelously grisly -LRB- like Trotsky careening around with his assassin 's pickax stuck in his head ; or the male hustler brutally bludgeoning Latin heartthrob Ramon Novarro -RRB- .
[],"What 's more , the trucks  he is pushing have a checkered history: Early versions broke down , got stuck in the mud and languished in fields waiting to be fixed ./."
"['the young documentary maker', 'be struck', 'by the numbers of children']","Born and raised in India and educated at Harvard , the young documentary maker visited Bombay and was struck by the numbers of children living in the street ."
"['Triple mieae', 'strike', 'another blow']",Triple mileage has struck another blow to the coupon market
"['he', 'strike', 'a better arrangement']","Even if Najibullah ca n't hang onto power , he may now be able to strike a better arrangement for a coalition government with a more compromising Pakistan ."
"['the required disclosure of contributors', 'be struck down']","The whole , rotting campaign-law edifice -- excepting the required disclosure of contributors -- should be struck down before it further damages the political process ."
"['A sequester', 'strike', 'me']","`` A sequester does n't strike me as something that the administration would want to do right before the election , '' he said ."
"['they', 'strike', 'a raw nerve']","When the chairman of Santa Fe Southern Pacific Corp. flew into town a few months ago in the corporate jet , a small group of trainmen here knew they had struck a raw nerve ."
[],"Donald Kessler , a project scientist at NASA 's Johnson Space Center , told an international conference on space pollution that a particle could strike and damage a spacecraft ."
[],"In addition , the eight-warhead missiles carry guidance systems allowing them to strike Soviet targets precisely ."
[],She had been struck with an iron skillet .
[],"he study notes that some machines weigh half a ton when fully loaded and can strike the ground with a force of almost 1 , 000 pounds ."
[],"While workers struck three plants , the company locked out about 1 , 200 workers at a fourth plant , in Mobile , Ala ."
[],"Specifically , they contend the Soviet leadership would be less likely to risk an all-out war if their most protected command posts could be struck ."
[],"They claim that colon cancer , which strikes more than 100 , 000 Americans a year , occurs only in people who inherit a particular gene from their parents that predisposes them to the cancer ."
[],"The union struck car haulers over a 1985 contract , but locals do n't want to strike this time , largely because the action is seen as having little clout while auto makers are closed for model changeover ."
[],Yesterday its planes struck a nuclear-power plant and industrial targets near the Persian Gulf coast city of Bushehr and raided Khuzestan .
[],"But they did say the coins would be struck in four sizes: one ounce , one-half ounce , one-quarter ounce and one-tenth of an ounce ."
[],"The company said in mid-June that about 2 , 000 workers were striking six distribution centers in a dispute over wages and benefits ."
[],Phalanx can be overwhelmed when a ship is attacked by several missiles at once -LRB- the Stark was struck by two Exocets -RRB- .
"['the market', 'stumble on', 'news of an unexpected rise']","London share prices finished a bumpy session little changed Monday , after the market stumbled on news of an unexpected rise in U.K. interest rates ."
"['he', 'stumble into', 'hot-dog territory']","In his excitement , he has stumbled into hot-dog territory with naivete , which is characteristic of the big , brash and growing metropolis on the banks of Lake Michigan ."
"['Johnson & Johnson', 'stumble upon', 'a Fountain of Youth Cream']","Johnson & Johnson may have stumbled upon a Fountain of Youth cream , according to preliminary research released yesterday ."
"['the Democratic candidates', 'stumble', 'South locked in a struggle']",With Iowa and New Hampshire behind them -- and victories for Rep. Richard Gephardt and Gov. Michael Dukakis -- the Democratic candidates now stumble South locked in a struggle that more and more experts and party leaders believe will go the distance .
"['He', 'stumble on', 'a new act']",He stumbled on a new act while attending a tent revival in Oklahoma in 1968 .
"['Mr. Xu', 'stumble', 'reading his lines']",Mr. Xu stumbles occasionally reading his lines and has to ask his wife for help .
[],"In 1813 , a Welsh missionary named Thomas Jones stumbled across the hills into Meghalaya and began pushing the native Khasis , who today make up half the population , along the rocky path toward modernization and Christianity ."
[],"He stumbles home in the middle of yet another rainy , drugged night and tries to kill himself by guzzling iodine ."
[],"Lazuli , an itinerant peddler , who stumbles into the kingdom singing one of the prettiest tunes ever composed for any operetta , `` My little star , '' is nearly sacrificed to this nutjob , before the mayhem ends on a cheerful note with Lazuli standing next to a goo-goo-eyed princess ."
[],"But the next morning , a thin farmer from a nearby ranch who stumbled into the Contras ' campsite told a different story ."
[],"Every morning he stumbles into work still a wreck from the drugs and booze of the night before , clearly contemptuous of the drudgery set before him ./."
[],"I ca n't locate it in two hours of stumbling around Acha , even though I ask a dozen passers-by ."
[],"Clark , in another deft portrait -RRB- up and down their odd homestead -- a huge , moss-covered boiler , Snopishly decorated with old car seats and broken machines -- and seemed worn and winded by the time he stumbles upon Brunnhilde on the airstrip ."
[],"Mike Trial , a passenger on the ill-fated fishing trip , testified in probate court last May that Mrs. Von Bergen stumbled into him on the deck of the boat and that they fell overboard ./."
"['Heinz', 'target', 'such countries as Germany, France and Portugal']","Heinz is targeting such countries as Germany , France and Portugal for growth in anticipation of the European Community 's plan to eliminate trade barriers within the 12-nation trading bloc by the end of 1992 , the spokesman added ."
"['the association', 'target for', 'membership thousands more wine-grape growers']","In addition to representing the approximately 1 , 300 wineries in this country , the association also is targeting for membership thousands more wine-grape growers , according to Richard Feeney , the group 's executive director ."
"['the Fed', 'target', 'the real economy']","Traditions die hard , and the Fed has n't shaken its habit of targeting the real economy -- under the notion that inflation , too much money chasing too few goods , is prevented by curtailing the production of goods ."
"['a forum', 'target', 'blacks and Hispanics']","In its drive for more minority students , Stanford joined forces with UCLA , the University of California at Berkeley and the University of Southern California to sponsor a forum targeting blacks and Hispanics ; about 200 prospective students attended the event ."
"['vaccines', 'target', 'many disease-causing organisms']",The study also showed that different organisms ' stress proteins are chemically similar-raising the possibility that vaccines made with the proteins might prime immune cells to target many disease-causing organisms .
"['Luby 's Cafeterias Inc.', 'target', 'the Midwest']","Luby 's Cafeterias Inc . , San Antonio , Texas , is targeting the Midwest after recently inching out of its Deep South stronghold into Arizona ."
[],"In a letter sent yesterday to the German media , the terrorist group said Mr. Tietmeyer , who was unharmed in the attack , has been targeted because of his central role in sustaining the world 's `` imperialist '' financial system ."
[],"Terry Knowles , special agent in charge of the Sacramento FBI office , declined to say why California was targeted or provide other details ."
[],"The peace lobby , which targeted the B-1 , virtually compelled President Carter to cancel the plane , made the MX inevitable and got the B-1 anyway ."
[],"Before midnight , it had targeted the National Aeronautics and Space Administration Ames Research Center in California 's Silicon Valley , as well as the University of Pittsburgh and the Los Alamos National Laboratory in New Mexico ."
[],A former Navy intelligence aide said the U.S. targeted the French Embassy when it bombed Libya in 1986 .
[],Col. North again proposed luring Col. Gadhafi to a spot where bombers could target him .
"['Mr. Rowland', 'touch on', 'the matter']","Mr. Rowland `` touched on the matter '' of a possible stake purchase again last week , according to Sir Michael ."
"['The Mulroney', 'be touched', 'by scandal']",The Mulroney administration was touched by scandal early on .
"['you', 'touch', 'these things']",`` You lose elections if you touch these things .
"['Investor's fear', 'touch', 'the bonds of companies']",Investors ' fears have touched the bonds of companies not immediately identified as takeover targets .
"['a sudden surge in oil prices', 'touch off', 'a spurt in inflation']","It says that only unexpectedly bad developments , such as another stock-market crash the size of last October 's , or a sudden surge in oil prices , might damp confidence or touch off a spurt in inflation that might frighten governments into choking off the recovery by raising interest rates significantly ."
"['New England Telephone', 'touch', 'someone style of advertising']",New England Telephone says the campaign makes it the first local phone company to break with the `` reach out and touch someone '' style of advertising popularized by Ma Bell .
[],"When realistic paintings such as these were first viewed , by an educated class surfeited with romanticism and an upcoming middle class newly exposed to museums , they caused such commotion that for the first time in history police were necessary to keep people from touching the pictures ."
[],The failure of a rocket joint touched off the January 1986 explosion that killed the seven Challenger astronauts .
[],"This version stated that `` the other two men in the plane died , probably before Lt. Bush touched the water ."
[],"But a mechanic ca n't see or touch a short circuit in a microprocessor , says J.S. Kiple , manager of technical training for Chrysler 's service and parts operations ."
[],"`` People in Washington touch cheek-to-cheek quite often , '' says Effi Barry , wife of the city 's mayor , Marion Barry Jr ."
[],"At the Chicago seminar , a participant named Jackie says: `` I like to touch their arm and say their name ."
[],"While Graphic Technology 's labels must be touched by the hand-held computer , Telepanel 's labels need n't be ."
[],"The U.S. military stood by its claims that intruders entered a fuel-storage area at a military base in Panama , touching off a two-hour firefight Tuesday night , but said it has uncovered no evidence so far to support the story ."
[],"But the burglar did n't touch her coat , car stereo or Walkman radio ."
[],"For the superstitious , Ms. Frese explains , it 's supposed to ward off evil: Legend holds that witches can't touch it and survive ."
[],"Indeed , one imagines her taking almost malicious pleasure in her cleverness at assigning Ms. Oppens to play harpsichord , an instrument she had barely touched before , in the `` Concerto for harpsichord , flute , oboe , clarinet , violin and cello '' that Manuel de Falla wrote ff course , none or only some of the rules apply to Utah 's private clubs -LRB- open to out-of-towners at a $ 5 fee -RRB- and beer bars , which sell setups and uncork wine but ca n't touch the liquor that you are free to bring in ./.or Wanda Landowska in 1923 ."
[],"A player could n't let the knees touch the ground , for two reasons -- one a matter of protocol , the other practical ."
[],"To find out the time , a user simply touches a button and the screen displays the time and date ."
[],"Now when a NATO ship touches the land between the Baltic and North seas , Denmark will notify the ship 's embassy the visit must `` take place in agreement with the rules laid down by the Danish government ."
