Sentence	Output
La première particularité , à laquelle le commissaire a fait référence , est la façon dont nous sommes passés de la confrontation à la codécision dans la procédure budgétaire , comme si nous atteignions par magie les moyens d' être capables d' estomper la distinction entre les dépenses obligatoires et les dépenses non obligatoires sans devoir passer par une révision du traité .	[nous,atteindre,moyen]
Le plus important est que nous devrons modeler le débat international pour l' après -2012 .	[nous, modeler, débat]
M. De Luca a parfaitement raison de dire que le résultat de cette enquête a rapproché la Commission et la commission du contrôle budgétaire du Parlement dans leur approche des différents problèmes .	[, approche, de problème]
Consciente des défis qui se présentent , la Commission européenne a mis en place une politique de développement misant sur la lutte contre la pauvreté , la promotion du développement durable et la réponse aux défis politiques pour contribuer à la stabilité .	[ ,répondre,à défi]
Des mesures comme celle-ci sont indispensables car elles fournissent aux autorités les outils et l' objectif commun nécessaires pour gérer ce phénomène d' envergure européenne.	[ ,gérer, phénomène]
D' autres amendements concernent la question des possibilités pour les États membres d' aller au-delà du minimum exigé par la législation de l' UE pour leurs propres flottes.	[amendement,concerner,question]
Il est vrai , comme vous l' avez remarqué , que la Chine est la principale source de cigarettes de contrefaçon , nous devons donc travailler en étroite coopération avec elle afin d' enrayer ce problème.	[ ,enrayer,problème]
Si nous nous sommes réjouis , la nuit dernière , à l' annonce américaine d' un moratoire de six mois , nous n' en sommes pas moins farouchement opposés à cette législation en principe et tenons à dire que ce n' est pas en tyrannisant leurs alliés que les Américains parviendront à leurs fins .	[l'Américain,parvenir,à fin]
Nous devons continuer à chercher une issue dans le brouillard .	[nous, chercher, issue]
La Commission ne peut accepter cet amendement vu qu' il réduirait la flexibilité dont certains États membres ont besoin afin d' aborder des problèmes environnementaux urgents.	[ ,aborder,problème]
Afin de répondre à quelques-unes des préoccupations exprimées par le Parlement européen et les États membres - par exemple , en ce qui concerne la sécurité - plusieurs amendements ont été introduits dans le texte initial.	[ ,répondre,à préoccupation]
Monsieur le Président , la confiance des citoyens en l' Union européenne dépend pour beaucoup de la manière dont l' Union européenne réussit à trouver une réponse aux problèmes réels de la vie quotidienne des gens.	[l'union européenne,trouver réponse,à problème]
Je me demande si ceux qui ont multiplié leurs interventions sur cette question au cours des votes successifs dans des sessions plénières successives ne cachent pas une motivation politique.	[eux,multiplier,intervention]
Les drogues cultivées et produites en Afghanistan aboutissent dans les rues d' Europe .	[drogue, aboutir, dans rue]
Le rapport soulève néanmoins des questions importantes qu' il faut prendre en compte si l' on veut que les efforts visant à améliorer la sécurité alimentaire soient poursuivis.	[ ,prendre en compte,question]
La mission qu' Eurostat prévoit d' envoyer en Bulgarie au cours du deuxième semestre de cette année ne portera pas sur les différences relevées ni sur les questions qui se posent à propos des perspectives 2010.	[mission,porter,sur question]
